评价分,对本门课程学习收获的感受25%,老师对教学工作是否认真负责20%,老师教学是否激发了你的学习兴趣，促进你主动学习10%,老师是否关心你们的实际学习情况，注重与你们的沟通、指导和交流15%,是否因教学效果好，愿意向下届同学推荐这位上课老师30%
100,A,A,A,A,A
82,C,C,A,A,A
100,A,A,A,A,A
87,B,C,A,A,A
84,A,E,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
96,A,B,A,A,A
98,A,A,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
98,A,A,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
94,A,B,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
98,A,A,B,A,A
94,A,B,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
47,E,E,E,D,A
100,A,A,A,A,A
100,A,A,A,A,A
86,C,B,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
46,E,E,D,E,A
60,E,E,C,A,A
82,C,C,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
78,C,D,A,A,A
100,A,A,A,A,A
72,E,C,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
60,E,E,C,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
94,A,B,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
92,A,C,A,A,A
100,A,A,A,A,A
89,B,B,B,A,A
79,B,E,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
71,D,D,B,A,A
30,E,E,C,E,D
100,A,A,A,A,A
98,A,A,B,A,A
96,A,B,A,A,A
100,A,A,A,A,A
33,E,E,C,D,D
100,A,A,A,A,A
71,D,D,B,A,A
88,A,D,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
67,D,E,B,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
95,B,A,A,A,A
94,A,B,B,A,A
85,D,A,A,A,A
60,E,E,C,A,A
74,C,E,A,A,A
94,A,B,B,A,A
64,E,E,A,A,A
95,B,A,A,A,A
98,A,A,B,A,A
94,A,B,B,A,A
59,E,E,B,B,A
100,A,A,A,A,A
100,A,A,A,A,A
97,A,A,A,B,A
93,B,A,B,A,A
100,A,A,A,A,A
98,A,A,B,A,A
94,A,B,B,A,A
100,A,A,A,A,A
86,C,B,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
65,D,E,C,A,A
100,A,A,A,A,A
100,A,A,A,A,A
40,E,E,D,E,B
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
54,E,E,C,C,A
74,C,E,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
80,E,A,A,A,A
40,E,E,D,E,B
89,B,B,B,A,A
20,E,E,E,E,E
85,D,A,A,A,A
87,B,C,A,A,A
94,A,B,B,A,A
100,A,A,A,A,A
80,E,A,A,A,A
100,A,A,A,A,A
100,A,A,A,A,A
75,D,C,B,A,A
100,A,A,A,A,A
85,D,A,A,A,A
26,E,E,E,E,D
100,A,A,A,A,A
60,E,E,C,A,A
98,A,A,B,A,A
100,A,A,A,A,A
93,B,A,B,A,A
100,A,A,A,A,A
